SRCID,$P_0$_ML,$\phi_0$_ML,$\chi_0$_ML,$P_0$_MCMC,$P_0$_lo,$P_0$_hi,$\phi_0$_MCMC,$\phi_0$_lo,$\phi_0$_hi,$\chi_0$_MCMC,$\chi_0$_lo,$\chi_0$_hi
2873,12.440298235666365,-26.29505276338484,-0.08806192692837418,19.93959844455805,2.489095836071318,2.425411845968764,21.637119029500735,2.897694895932048,1.9837493827509185,-1.3395274515303974,0.15912360640772594,0.24283107482552801
6187,1.893644262572133,298.4056779655889,-0.3160200988425115,10.632955785457245,0.12674858475477713,0.12522748709406883,10.714545700719041,1.2189938507764744,0.5633693880524024,1.4100440394624454,2.9782993192703167,0.04663129279172806
3570,11.413995326841542,12.043040797035736,0.3853189507961705,11.364507650068855,0.8694943995903337,0.8597401199982908,12.016722514996559,2.01067957749072,1.9975401080998196,0.3880948255854828,0.1714371876481111,0.171689799184631
2055,17.34827860316968,14.160992809179016,0.6924514412065217,17.147342643283466,1.9062961923355637,1.8891098087071363,14.186429813130424,2.5825012007573953,2.5846557905144145,0.6886994223005003,0.21422693892465555,0.2105570450618075
6972,51.01945767381806,37.603314276123946,1.5707963267948966,67.05824231854926,6.332864133817054,6.361060172751806,13.795398263109565,3.298014725356765,3.2305450666313043,0.64733392100277,0.2984766232830677,0.3010614160973837
3100,13.963428019909887,16.00838673677563,0.5726202124238543,13.962921922930466,0.09876905812258308,0.10016252952919658,16.007434616960055,0.1854272884606516,0.18322107235386653,0.5726916342120735,0.01531589534792277,0.015623644269653902
3694,0.0,800.7592294164651,1.5707963267948966,5.260256220330256,0.07395130002796257,0.07134783284593027,9.29180025280057,0.3587883198986095,0.34385831433649017,0.6657707752905664,0.027959008579335753,0.02827434969509668
1411,32.596821813624345,22.448456926944658,0.02513334823891255,32.24956260715237,3.3111664283351345,3.293137290073936,22.473288847272038,2.7787802986440084,2.8264141585267772,0.021450068767082386,0.25934754098399393,0.259349081228855
4844,49.55709296982627,3.567870591700772,-0.6959412993124439,48.938263630099115,5.616824931480309,5.646694780422401,3.514052169527318,2.881189047763336,2.8910477782012984,-0.6909029978648522,0.2333128296046174,0.23190031633283364
6423,0.5638324769907114,-856.8916589455847,0.05604210444790547,7.374549436612227,0.1004817631098911,0.09944788570600238,3.773743662860384,0.36606541103292267,0.3707632919268429,-0.6772701813065769,0.030865524219307217,0.0302681729424773
4142,48.596157500213984,9.242809609304501,-1.3548263118286166,47.7604392822022,5.8498905872917035,5.8217117985079625,8.988048515986346,3.263124417639795,3.011776245213877,-1.1945586933907264,0.24682724446539273,2.4954554055906515
4914,2.620654410378586,39.148073663890976,1.5707963267948966,5.426819359848438,0.3662684191018082,0.3577094404507237,11.279139174728988,1.7339057632748496,1.7334881758672172,0.9046821882393214,0.14932642656431916,0.1486930605108574
1254,2.652336334790852,17.289064775377124,-0.01613707319369681,2.6346749532845233,0.22515983238632087,0.22378927202235888,17.250477454649577,2.5896376250592006,2.561405925236251,-0.010560775596125276,0.2189681837904372,0.2183404408564231
2459,5.435195520389808,22.85007840333098,1.5707963267948966,6.924696140167445,0.7259728037666244,0.7288060702417809,-1.317958656810048,3.246582664858903,3.2161750500790913,0.7544110719618478,0.29755703900322955,0.2989934975232815
2096,23.544304709463233,15.76707640465512,-0.2232591899031461,23.53931897791091,0.22305115611468196,0.22552108642311453,15.767352244561119,0.2511158449926256,0.25084569258581446,-0.22319417572272687,0.020678040368001444,0.020646855887643978
2702,0.028068718975301808,714.8082814807225,-0.34620036875905574,7.169810984129128,0.09612724565223196,0.0958722805619967,12.217184047201275,0.35321666476075464,0.35297022890641294,1.1350743832337655,0.028537152999408733,0.02925370151529849
2435,0.0,98.43420445862553,1.5707963267948966,0.7069121545449072,0.013674526485519367,0.013857406405096584,10.70973657641914,2.491750361850004,0.9382456416444054,1.279744903850905,2.8418480580476206,0.08217326341520792
2647,8.261698419916144,-21.65628136419002,-1.5707963267948966,19.83078136633185,1.4270896525525707,1.5543960899057296,10.20715489791786,2.11916501352289,1.9710526287799546,-1.1705121072376254,0.16265546791558871,0.17039095048682174
1544,41.52913764539175,0.5384484128810787,1.3830857452839664,41.225812904118335,3.772036682140211,3.761618190749708,0.3726895987764202,2.8203324002054067,2.810311599161206,1.2296953993418316,2.6510373170574373,0.2251281054034009
2806,33.11582441458564,35.624334748473906,1.5707963267948966,59.27092625887194,4.18251309200221,4.228350154672796,8.715042502040777,1.8987883958977552,1.8700641223249939,0.7681031381603175,0.1541081571559978,0.15525651743631086
2964,0.0,-131.19339124256024,-1.5707963267948966,4.808564684216655,0.12930363585698235,0.12861261114592448,11.14126410161852,0.8465717408960636,4.118260197850921,-1.1854602162559698,0.06796673414397203,2.7430049135052044
2694,0.5450451946727864,12.302486785148144,-0.3809889838350663,0.5449964279069756,0.004599743931128719,0.004488481645232079,12.307725545580379,0.24169041650214318,0.24018129171841984,-0.38132865622099577,0.016761896831491374,0.01651277065472795
2450,2.287951453694054,19.190807784407117,0.3468515946452101,2.2879913642494585,0.02662863121757919,0.026743530167290253,19.198900225707657,0.31902336377492446,0.31294510495456507,0.34617597810934675,0.026365299075696513,0.02695079015190055
